SSDSE-A-2023,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R01209,ñkäCìπ,ó[í£és,7334,3381,3953,7247,3373,3874,411,199,212,3093,1609,1484,3828,1571,2257,2262,818,1444,87,22,186,163,330,3807,3790,6902,1811,1766,1216,735,1095,23,6,76307,11466,435,4,0,0,27,21,3,2,12,126,4,7,5,54,47,4,42,15,62,2921,39,0,0,219,699,19,3,103,530,20,17,12,274,104,11,559,109,203,111,18,87,126.3,69.9,11318450,921776,10742316,2310078,1269998,303011,1998,0,0,1,22,171,1,19,100,0,0,0,0,1,53,3085,1687,1398,242,157,85,3455,1265,2190,518,678,1880,1,0,7302,3089,119,40,0,0,6,4,7,7,16,3
R01210,ñkäCìπ,ä‚å©ëÚés,79306,37105,42201,79031,36970,42061,7859,3961,3898,42391,21004,21387,28880,12062,16818,15113,5691,9422,196,369,1094,2420,2758,35584,35476,76126,20315,12581,10037,5774,6056,294,130,48102,32071,3230,96,0,1,301,120,3,29,77,776,55,244,124,445,324,67,296,26,246,28621,801,0,16,2536,2597,110,159,1833,6166,575,646,622,2607,1391,460,4985,558,2559,854,166,409,98.5,7.4,47880659,8547292,47719315,14898313,7185137,4885656,1644,5,644,14,297,3413,9,179,1818,0,0,0,0,4,2220,34045,18427,15618,1636,1037,599,29663,10443,19220,2695,6014,24329,0,2,79614,3832,625,381,10,5,58,49,178,67,141,18
R01211,ñkäCìπ,ñ‘ëñés,35759,18060,17699,35429,17962,17467,3731,1932,1799,20405,11042,9363,11259,4818,6441,5595,2198,3397,321,200,427,1515,1824,17253,17193,34107,8505,7618,3977,2386,2383,135,59,47100,22995,1861,36,23,1,174,103,2,15,39,429,36,143,71,306,165,33,126,19,140,15757,614,203,4,1348,1744,38,106,620,3116,384,328,426,2062,615,523,2201,426,999,305,18,245,98.4,17.4,23148521,4758447,22935709,6440779,2835804,2071392,0,3,223,9,177,1515,6,109,772,0,0,0,0,2,919,16723,9393,7330,578,363,215,12233,4938,7295,2195,2555,11448,0,1,34696,1266,345,242,5,3,14,15,54,20,53,4
R01212,ñkäCìπ,óØñGés,20114,9649,10465,19940,9610,10330,1711,885,826,9981,5234,4747,7425,3002,4423,3944,1467,2477,134,99,320,795,1074,9816,9784,19120,4915,4121,2540,1559,1708,84,33,29784,3294,1107,4,1,2,92,37,4,8,47,310,29,44,38,170,109,14,83,10,105,8065,37,20,13,950,871,48,49,641,1926,255,143,173,647,377,65,1121,207,522,61,19,160,96.7,14.3,13704541,2279419,13412428,3750468,2242070,1036382,7155,2,190,5,102,747,2,47,420,0,0,0,0,1,501,9601,5469,4132,453,283,170,7079,2347,4732,315,1896,7344,1,1,20024,1409,243,137,3,2,15,11,48,12,49,3
R01213,ñkäCìπ,ìœè¨ñqés,170113,83522,86591,168873,82739,86134,20426,10593,9833,96847,49324,47523,50022,21637,28385,23635,9242,14393,722,1139,1950,5748,5564,80130,79962,164852,44385,31627,18268,11128,11075,791,338,56165,23136,7339,18,2,5,941,347,14,33,458,1738,147,332,238,1039,679,230,550,28,540,78882,497,19,118,8047,11621,383,463,8444,15466,1456,1436,1212,6675,4061,1508,9844,922,6710,34,19,781,89.4,6.7,81716525,28199494,79917443,34141609,8545870,9583687,0,11,1498,23,589,8715,16,358,4431,0,0,0,0,7,3807,76046,43267,32779,2924,1714,1210,50281,16776,33505,1457,19227,52507,1,1,170370,349,1232,859,26,10,89,74,343,110,312,27
R01214,ñkäCìπ,ítì‡és,33563,16651,16912,33083,16509,16574,3484,1806,1678,18920,10016,8904,11025,4739,6286,5458,2105,3353,435,187,448,1150,1560,16060,15944,32492,8397,6492,4004,2303,2454,116,70,76142,32075,1936,12,14,3,193,121,6,14,45,468,51,125,52,338,180,28,101,24,161,15156,128,262,10,1915,1992,88,118,959,3456,445,273,258,1591,743,189,1173,375,1181,135,4,226,94.4,12.2,30273186,4714419,30071224,5735917,4560254,2776177,0,5,364,11,150,1418,7,102,742,0,0,0,0,2,855,16459,9610,6849,831,525,306,10760,3610,7150,1407,3525,11265,0,1,33150,663,312,273,5,3,16,11,47,16,52,6
R01215,ñkäCìπ,î¸âSés,20413,9565,10848,20343,9527,10816,1539,813,726,10169,5143,5026,8642,3575,5067,4739,1786,2953,44,64,387,510,669,9434,9359,19238,5004,3617,2842,1665,2122,54,26,27769,15755,970,34,0,4,108,64,2,3,31,200,16,71,12,127,105,25,65,14,89,7368,207,0,28,869,843,26,27,591,1209,149,138,112,634,428,73,1295,273,466,486,74,206,101.1,13.2,15592364,2066758,15389855,4585929,1961660,1121673,0,2,99,2,51,636,2,39,374,0,0,0,0,2,511,9257,5086,4171,358,233,125,8632,3111,5521,1204,1927,5948,4,1,20328,3406,167,104,1,3,11,13,42,16,26,5
R01216,ñkäCìπ,à∞ï és,12555,5762,6793,12536,5758,6778,845,435,410,5705,2854,2851,5995,2464,3531,3412,1304,2108,17,40,280,272,375,6055,6021,11914,3377,2241,2047,1258,1439,30,19,86504,14122,639,20,0,3,44,39,1,3,12,159,13,19,7,99,71,11,55,13,70,4891,243,0,77,305,1233,8,8,223,891,78,34,26,366,220,66,736,81,296,203,41,150,97.8,5.9,11242875,1448541,10986802,3063134,1232710,857411,1,1,91,2,41,356,2,29,193,0,0,0,0,1,157,5308,2863,2445,313,203,110,5682,2054,3628,547,1443,3292,0,1,12603,1879,135,84,1,2,3,8,15,9,22,1
R01217,ñkäCìπ,ç]ï és,121056,57523,63533,119589,56702,62887,13400,6786,6614,69555,34012,35543,36783,15876,20907,18112,7027,11085,635,638,1265,4794,4125,53977,53869,117451,32535,18549,14241,8373,6686,292,164,18738,16819,3351,40,0,0,395,152,5,22,91,757,46,224,114,356,330,176,408,21,214,33426,449,0,0,2698,4085,109,722,1861,7233,414,720,860,2429,1451,2213,5163,411,2608,304,31,489,94.4,7.1,46582271,12658606,46059796,18311321,6568246,3794656,136513,6,823,17,423,5759,9,281,3503,0,0,0,0,5,3857,53400,28888,24512,2506,1551,955,42623,15420,27203,1480,9256,40708,3,4,119883,1091,596,297,25,5,69,64,167,89,194,18
R01218,ñkäCìπ,ê‘ïΩés,9698,4388,5310,9631,4355,5276,603,299,304,4280,2139,2141,4669,1878,2791,2624,979,1645,67,25,228,193,255,4494,4463,8623,2307,1831,1420,860,1131,22,8,12988,3727,431,4,0,1,43,34,0,2,16,115,8,12,5,56,48,3,36,7,41,4069,44,0,18,442,1180,0,3,214,615,56,31,13,202,126,5,911,35,174,68,11,112,93.5,12.9,9567426,838894,9116652,2639378,1187682,827690,6699,1,31,3,44,267,1,19,174,0,0,0,0,0,0,4045,2163,1882,215,143,72,4683,1707,2976,182,1066,2784,2,1,9719,1813,107,46,1,2,3,5,25,6,23,2
R01219,ñkäCìπ,ñ‰ï és,21215,9901,11314,20674,9803,10871,1971,992,979,11515,5782,5733,7697,3104,4593,4066,1474,2592,529,91,336,768,814,11214,11192,20546,5502,5326,2657,1722,2209,73,46,83067,17777,1254,13,5,1,108,100,3,8,45,323,31,83,33,190,117,23,54,16,101,9289,167,87,4,856,1848,48,127,553,1960,173,175,138,873,397,110,948,201,624,70,9,218,90.8,10.1,25909831,2917388,25458011,4503619,2891805,1582106,2958,1,50,6,107,834,3,51,416,0,0,0,0,1,434,9688,5172,4516,381,242,139,6990,2330,4660,949,2392,6288,3,1,21156,1650,234,161,2,5,7,10,38,13,26,5
R01220,ñkäCìπ,émï és,17858,8416,9442,17756,8349,9407,1652,855,797,8803,4490,4313,7350,3044,4306,4118,1590,2528,76,71,264,433,680,8184,8157,17188,4660,2849,2510,1638,1467,43,27,111922,28428,1069,42,0,3,108,52,2,3,18,256,16,62,27,156,96,25,91,17,95,7540,516,0,13,1132,514,7,16,238,1537,138,102,294,591,285,90,803,260,1004,467,57,226,99.5,13.3,18678330,2267164,18660622,3886451,1627929,1616720,0,3,115,6,99,670,4,63,399,0,0,0,0,2,375,8810,4916,3894,225,151,74,6195,2041,4154,1481,1525,5454,17,2,17967,1012,209,127,3,1,12,9,20,9,30,3
R01221,ñkäCìπ,ñºäÒés,27282,13322,13960,27014,13167,13847,3018,1561,1457,15232,7893,7339,8747,3682,5065,4754,1846,2908,50,161,297,1291,1528,12810,12725,25708,6650,5303,3076,1917,1822,121,45,53520,20056,1404,20,0,1,104,54,2,10,40,361,32,141,42,216,142,33,92,14,100,10169,152,0,16,848,620,67,76,644,2795,287,236,201,1127,478,187,1369,219,847,473,107,252,93.2,9.2,21112169,3109947,20731921,5052704,1776468,3606398,540,3,286,7,131,1201,4,78,637,0,0,0,0,2,426,13689,7763,5926,290,180,110,8871,3033,5838,1367,1519,10479,19,2,27124,1032,291,184,5,4,10,15,88,22,56,5
R01222,ñkäCìπ,éOä}és,8040,3631,4409,8025,3621,4404,655,315,340,3566,1845,1721,3819,1471,2348,2253,779,1474,15,38,194,293,367,3816,3799,7465,1994,1583,1185,648,1037,20,3,30252,5849,393,10,0,1,38,28,2,0,15,113,6,7,3,41,45,2,27,7,48,3025,197,0,18,312,522,6,0,149,667,24,27,18,210,143,12,424,36,260,55,14,113,98.7,8,11597386,874825,11476823,2583512,1258583,1405549,13565,0,0,2,32,257,2,26,134,0,0,0,0,1,110,3147,1729,1418,258,190,68,3875,1340,2535,233,658,2238,1,1,8182,2126,99,33,1,2,4,3,9,3,13,2
R01223,ñkäCìπ,ç™é∫és,24636,11762,12874,24249,11666,12583,2396,1217,1179,13370,6832,6538,8648,3550,5098,4569,1694,2875,306,115,385,685,1015,11153,11133,23883,5841,4201,2969,1634,1757,105,33,41141,21003,1439,13,38,3,111,144,3,11,41,358,33,46,25,236,158,25,64,22,108,10427,82,358,34,656,2478,26,37,475,2348,268,127,100,934,478,98,855,373,700,86,1,233,95.9,8.5,28785658,2981106,28545730,4844591,1401194,1472713,0,2,187,7,116,889,5,84,533,1,30,94,48,1,481,12722,7022,5700,351,224,127,7879,2616,5263,2438,2600,7261,4,1,24958,6882,266,194,5,1,7,9,33,12,28,7
R01224,ñkäCìπ,êÁçŒés,97950,49790,48160,97223,49450,47773,13012,6681,6331,62066,32906,29160,22690,10088,12602,10977,4484,6493,704,708,915,5553,5668,43809,43635,92889,24584,17068,8652,4970,4583,528,205,59450,19754,3157,37,2,2,243,146,2,17,143,847,56,129,77,616,328,103,218,16,175,39568,549,16,7,2196,6945,81,81,4735,8050,537,1011,561,4760,2328,726,3292,306,3387,173,41,497,87.6,8.5,47322947,15824880,46571825,13904536,5483182,4966224,53930,8,1228,17,336,5310,9,199,2698,0,0,0,0,2,1462,47913,28274,19639,1819,1064,755,26916,9257,17659,1606,8585,36424,12,1,98122,1662,701,535,19,5,56,46,128,60,134,18
R01225,ñkäCìπ,ëÍêÏés,39490,18832,20658,39013,18548,20465,3995,2104,1891,21161,10702,10459,13821,5682,8139,7223,2735,4488,109,214,579,1741,1895,18688,18636,37549,10324,7369,4799,2961,3114,164,62,11590,10282,1882,14,0,2,193,61,2,10,49,476,44,101,64,313,211,50,152,12,128,14647,164,0,5,1659,670,64,83,805,3711,445,303,361,1718,782,300,2225,306,1046,273,65,239,93.9,9.7,22023280,4384641,21137961,6882045,2455403,1990046,0,2,257,6,144,1671,4,88,900,0,0,0,0,3,1484,18184,9981,8203,618,387,231,13077,4494,8583,823,3119,13571,1,1,39383,4687,377,278,8,4,24,26,85,35,97,5
